"yrplot.id","ppt","vpdmax","tmax","tmean","tot_n","tot_s","optional","L2NAME","S"
"2001_42_95_1273",1231.47998046875,11.1300001144409,16.2000007629395,10.2799997329712,122.948525428772,135.39473772049,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2001_42_99_148",1066.7099609375,11.1800003051758,16.4599990844727,11.0600004196167,135.956500053406,155.732545375824,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2002_42_105_2581",1071.14001464844,8.94999980926514,12.9200000762939,7.01000022888184,109.004826545715,221.200123786926,TRUE,"ATLANTIC HIGHLANDS",8
"2002_42_107_2090",1215.32995605469,10.8699998855591,15.9799995422363,10.1400003433228,150.289300918579,156.795310497284,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2002_42_11_2310",1133.75,10.6700000762939,16.4099998474121,10.9300003051758,164.251571655273,148.438394069672,TRUE,"SOUTHEASTERN USA PLAINS",5
"2002_42_111_2122",1127.84997558594,8.96000003814697,13.710000038147,8.06999969482422,111.567224502563,286.938740730286,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2002_42_113_2711",1138.71997070312,7.69999980926514,12.0799999237061,7.23999977111816,123.04266166687,158.503439903259,TRUE,"ATLANTIC HIGHLANDS",7
"2002_42_117_2103",928.599975585938,10.4799995422363,14.2299995422363,7.86999988555908,105.920266628265,158.285571098328,TRUE,"ATLANTIC HIGHLANDS",11
"2002_42_123_2717",1144.96997070312,9.27000045776367,13.3599996566772,7.57000017166138,115.534449577332,230.64244556427,TRUE,"ATLANTIC HIGHLANDS",6
"2002_42_125_2160",1034.94995117188,10.9700002670288,15.9899997711182,10.3500003814697,129.916033744812,257.966937065125,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2002_42_127_2525",1129.97998046875,8.9399995803833,13.1700000762939,7.48999977111816,103.930489063263,119.279590129852,TRUE,"MIXED WOOD PLAINS",7
"2002_42_129_2903",1106.2099609375,10.9399995803833,15.8500003814697,10.0500001907349,116.270826339722,226.156546592712,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",6
"2002_42_15_2727",1049.91003417969,7.53999996185303,12.1300001144409,7.21000003814697,123.571378707886,177.29424571991,TRUE,"ATLANTIC HIGHLANDS",3
"2002_42_19_1957",1007.35998535156,10.9200000762939,16.1299991607666,10.4799995422363,126.050751686096,211.678329467773,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2002_42_21_2171",1092.71997070312,9.26000022888184,13.7600002288818,8.31999969482422,134.444144248962,299.628312110901,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",7
"2002_42_27_2236",1025.01000976562,10.9899997711182,15.2600002288818,9.36999988555908,121.180625915527,203.669238090515,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",10
"2002_42_27_2422",1234.15002441406,10.2399997711182,13.9700002670288,7.80999994277954,140.710429191589,217.568481445312,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2002_42_33_2538",1086.91003417969,10.4200000762939,14.7299995422363,8.88000011444092,110.210300922394,227.531560897827,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2002_42_35_2330",1051.18994140625,9.72999954223633,13.5500001907349,7.51999998092651,114.475908279419,208.393369674683,TRUE,"ATLANTIC HIGHLANDS",9
"2002_42_39_2006",1151.23999023438,9.53999996185303,14.210000038147,8.68000030517578,118.441744804382,237.967672348022,TRUE,"MIXED WOOD PLAINS",4
"2002_42_39_2047",1183.78002929688,8.75,13.2799997329712,7.94999980926514,117.477721214294,230.367719650269,TRUE,"MIXED WOOD PLAINS",2
"2002_42_41_2086",1016.94000244141,11.6000003814697,16.6900005340576,11.0799999237061,147.835639953613,185.269153594971,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",8
"2002_42_47_2061",1157.25,9.56999969482422,13.5500001907349,7.48999977111816,113.536046028137,237.543511390686,TRUE,"ATLANTIC HIGHLANDS",6
"2002_42_49_2551",1206.92004394531,8.92000007629395,13.1599998474121,7.6100001335144,127.785586357117,238.456887245178,TRUE,"MIXED WOOD PLAINS",2
